gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_tx,out_tx,in_kzt,out_kzt,pass_through,role_label,rank
100000000011452100,peripheral,0.5,0,0.8698843416370107,"периферия, признаков роли не выявлено: входящих 3, исходящих 1, получено 110,000 ₸ (предварительно)",1,False,3,1,7,2,110000.0,16685.0,0.1516818181818182,"периферия, признаков роли не выявлено",253
100000000018102100,peripheral,0.5,0,0.3173932384341637,"периферия, признаков роли не выявлено: входящих 1, исходящих 0, получено 7,000 ₸ (предварительно)",4,False,1,0,1,0,7000.0,0.0,0.0,"периферия, признаков роли не выявлено",842
100000000031787100,transit,0.5,0,0.8111654804270463,"признаки транзитного счёта: входящих 1, исходящих 2, получено 90,000 ₸ (предварительно)",2,False,1,2,2,4,90000.0,90000.0,1.0,признаки транзитного счёта,335
100000000041368100,terminal,0.5,0,0.3173932384341637,"конечный получатель в пределах выгрузки: входящих 1, исходящих 0, получено 160,000 ₸ (предварительно)",1,False,1,0,1,0,160000.0,0.0,0.0,конечный получатель в пределах выгрузки,843
100000000076451100,peripheral,0.5,0,0.9377224199288257,"периферия, признаков роли не выявлено: входящих 3, исходящих 4, получено 87,707 ₸ (предварительно)",2,False,3,4,4,4,87707.0,58000.0,0.661292713238396,"периферия, признаков роли не выявлено",128
100000000089154100,distributor,0.5,0,0.9806494661921709,"признаки веерного распределения: входящих 1, исходящих 15, получено 10,000 ₸ (предварительно)",1,False,1,15,1,21,10000.0,425500.0,42.55,признаки веерного распределения,41
100000000190228100,peripheral,0.5,0,0.6983985765124555,"периферия, признаков роли не выявлено: входящих 1, исходящих 1, получено 5,000 ₸ (предварительно)",2,False,1,1,1,1,5000.0,28560.0,5.712,"периферия, признаков роли не выявлено",517
100000000201868100,transit,0.5,0,0.6983985765124555,"признаки транзитного счёта: входящих 1, исходящих 1, получено 190,000 ₸ (предварительно)",2,False,1,1,1,1,190000.0,190000.0,1.0,признаки транзитного счёта,518
100000000254336100,peripheral,0.5,0,0.8111654804270463,"периферия, признаков роли не выявлено: входящих 2, исходящих 1, получено 97,177 ₸ (предварительно)",3,False,2,1,2,1,97177.0,60000.0,0.6174300503205491,"периферия, признаков роли не выявлено",336
100000000267734100,peripheral,0.5,0,0.957517793594306,"периферия, признаков роли не выявлено: входящих 2, исходящих 7, получено 180,000 ₸ (предварительно)",1,False,2,7,4,8,180000.0,282000.0,1.5666666666666667,"периферия, признаков роли не выявлено",93
100000000274067100,peripheral,0.5,0,0.900355871886121,"периферия, признаков роли не выявлено: входящих 2, исходящих 3, получено 517,704 ₸ (предварительно)",1,False,2,3,9,9,517704.0,2969000.0,5.734937338710924,"периферия, признаков роли не выявлено",198
100000000287768100,terminal,0.5,0,0.3173932384341637,"конечный получатель в пределах выгрузки: входящих 1, исходящих 0, получено 35,168 ₸ (предварительно)",3,False,1,0,1,0,35168.0,0.0,0.0,конечный получатель в пределах выгрузки,844
100000000288317100,peripheral,0.5,0,0.900355871886121,"периферия, признаков роли не выявлено: входящих 2, исходящих 3, получено 100,000 ₸ (предварительно)",3,False,2,3,2,3,100000.0,53500.0,0.535,"периферия, признаков роли не выявлено",199
100000000291906100,transit,0.5,0,0.8698843416370107,"признаки транзитного счёта: входящих 2, исходящих 2, получено 388,000 ₸ (предварительно)",2,False,2,2,3,6,388000.0,455854.0,1.1748814432989692,признаки транзитного счёта,254
100000000291908100,peripheral,0.5,0,0.6983985765124555,"периферия, признаков роли не выявлено: входящих 1, исходящих 1, получено 295,500 ₸ (предварительно)",3,False,1,1,5,1,295500.0,13300.0,0.045008460236886635,"периферия, признаков роли не выявлено",519
100000000297649100,peripheral,0.5,0,0.6983985765124555,"периферия, признаков роли не выявлено: входящих 1, исходящих 1, получено 40,000 ₸ (предварительно)",2,False,1,1,1,2,40000.0,70600.0,1.765,"периферия, признаков роли не выявлено",520
100000000299820100,peripheral,0.5,0,0.3173932384341637,"периферия, признаков роли не выявлено: входящих 1, исходящих 0, получено 10,000 ₸ (предварительно)",4,False,1,0,1,0,10000.0,0.0,0.0,"периферия, признаков роли не выявлено",845
100000000307908100,terminal,0.5,4,0.3173932384341637,"конечный получатель в пределах выгрузки: входящих 1, исходящих 0, получено 5,000 ₸ (предварительно)",2,False,1,0,1,0,5000.0,0.0,0.0,конечный получатель в пределах выгрузки,846
100000000331309100,consolidator,0.5,0,0.9991103202846975,"признаки точки консолидации: входящих 5, исходящих 99, получено 984,635 ₸ (предварительно)",2,False,5,99,8,126,984635.0,23001375.0,23.360306103276848,признаки точки консолидации,3
100000000332284100,consolidator,0.5,0,0.9737544483985765,"признаки точки консолидации: входящих 10, исходящих 3, получено 107,426 ₸ (предварительно)",2,False,10,3,12,3,107426.0,289500.0,2.69487833485376,признаки точки консолидации,58
100000000343175100,consolidator,0.5,0,0.9948843416370107,"признаки точки консолидации: входящих 8, исходящих 31, получено 178,712 ₸ (предварительно)",0,True,8,31,14,33,178712.0,4000039.0,22.382598818210305,признаки точки консолидации,12
100000000369781100,peripheral,0.5,0,0.3173932384341637,"периферия, признаков роли не выявлено: входящих 1, исходящих 0, получено 5,000 ₸ (предварительно)",4,False,1,0,1,0,5000.0,0.0,0.0,"периферия, признаков роли не выявлено",847
100000000375150100,peripheral,0.5,0,0.3173932384341637,"периферия, признаков роли не выявлено: входящих 1, исходящих 0, получено 300,000 ₸ (предварительно)",4,False,1,0,1,0,300000.0,0.0,0.0,"периферия, признаков роли не выявлено",848
100000000404740100,peripheral,0.5,0,0.3173932384341637,"периферия, признаков роли не выявлено: входящих 1, исходящих 0, получено 25,000 ₸ (предварительно)",4,False,1,0,1,0,25000.0,0.0,0.0,"периферия, признаков роли не выявлено",849
100000000408846100,terminal,0.5,0,0.3173932384341637,"конечный получатель в пределах выгрузки: входящих 1, исходящих 0, получено 40,500 ₸ (предварительно)",3,False,1,0,1,0,40500.0,0.0,0.0,конечный получатель в пределах выгрузки,850
100000000413678100,peripheral,0.5,0,0.900355871886121,"периферия, признаков роли не выявлено: входящих 2, исходящих 3, получено 306,500 ₸ (предварительно)",3,False,2,3,2,18,306500.0,528198.0,1.723321370309951,"периферия, признаков роли не выявлено",200
100000000424935100,peripheral,0.5,0,0.3173932384341637,"периферия, признаков роли не выявлено: входящих 1, исходящих 0, получено 15,000 ₸ (предварительно)",4,False,1,0,1,0,15000.0,0.0,0.0,"периферия, признаков роли не выявлено",851
100000000425407100,terminal,0.5,0,0.3173932384341637,"конечный получатель в пределах выгрузки: входящих 1, исходящих 0, получено 20,000 ₸ (предварительно)",2,False,1,0,1,0,20000.0,0.0,0.0,конечный получатель в пределах выгрузки,852
