cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,fingerprints,n_coordinator,n_consolidator,n_distributor,n_transit,n_terminal,n_payer,tracked_kzt_internal
0,1877,46,342125465.01,100000000331309100;100000004400305100;100000003684369100;100000003016635100;100000006866783100,"Признаки связного фрагмента: 1877 узлов, 46 seed, внутренний оборот 342,125,465 ₸; нужна проверка.",,0,51,45,59,799,0,0.0
1,270,1,10178044.0,100000002578405100;100000002527114100;100000001697501100;100000002733905100;100000001166289100,"Признаки связного фрагмента: 270 узлов, 1 seed, внутренний оборот 10,178,044 ₸; нужна проверка.",,0,0,3,3,250,0,0.0
2,17,1,2977887.0,100000004160650100;100000002731501100;100000004007116100;100000003616818100;100000004005964100,"Признаки связного фрагмента: 17 узлов, 1 seed, внутренний оборот 2,977,887 ₸; нужна проверка.",,0,0,1,0,7,0,0.0
3,13,1,1392916.0,100000006232815100;100000001380054100;100000005077484100;100000000607731100;100000000703894100,"Признаки связного фрагмента: 13 узлов, 1 seed, внутренний оборот 1,392,916 ₸; нужна проверка.",,0,0,0,0,6,0,0.0
4,6,1,1615030.0,100000008193577100;100000008659445100;100000008736940100;100000008751429100;100000005456919100,"Признаки связного фрагмента: 6 узлов, 1 seed, внутренний оборот 1,615,030 ₸; нужна проверка.",,0,0,0,0,1,0,0.0
5,6,1,1527967.0,100000000580561100;100000003888271100;100000007939160100;100000000955444100;100000005183943100,"Признаки связного фрагмента: 6 узлов, 1 seed, внутренний оборот 1,527,967 ₸; нужна проверка.",,0,0,0,0,3,0,0.0
6,6,1,275885.0,100000005485830100;100000002462183100;100000005056870100;100000005807278100;100000005895525100,"Признаки связного фрагмента: 6 узлов, 1 seed, внутренний оборот 275,885 ₸; нужна проверка.",,0,0,0,0,5,0,0.0
7,6,1,383300.0,100000005546031100;100000005547096100;100000008575624100;100000004094958100;100000004331458100,"Признаки связного фрагмента: 6 узлов, 1 seed, внутренний оборот 383,300 ₸; нужна проверка.",,0,0,0,2,1,0,0.0
8,5,1,2809200.0,100000004135268100;100000008571433100;100000002738256100;100000004979498100;100000007507343100,"Признаки связного фрагмента: 5 узлов, 1 seed, внутренний оборот 2,809,200 ₸; нужна проверка.",,0,0,0,2,1,0,0.0
9,5,2,108007.0,100000006249740100;100000006562026100;100000006831291100;100000007347733100;100000008129393100,"Признаки связного фрагмента: 5 узлов, 2 seed, внутренний оборот 108,007 ₸; нужна проверка.",,0,0,0,0,3,0,0.0
10,4,1,1404980.0,100000001872484100;100000008601794100;100000000785800100;100000002459163100,"Признаки связного фрагмента: 4 узлов, 1 seed, внутренний оборот 1,404,980 ₸; нужна проверка.",,0,0,0,1,1,0,0.0
11,4,1,79050.0,100000003148220100;100000004971871100;100000006888238100;100000001852140100,"Признаки связного фрагмента: 4 узлов, 1 seed, внутренний оборот 79,050 ₸; нужна проверка.",,0,0,0,0,1,0,0.0
12,3,1,450000.0,100000002371751100;100000000769919100;100000007018630100,"Признаки связного фрагмента: 3 узлов, 1 seed, внутренний оборот 450,000 ₸; нужна проверка.",,0,0,0,0,1,0,0.0
13,3,1,450816.0,100000004388983100;100000005034574100;100000007283257100,"Признаки связного фрагмента: 3 узлов, 1 seed, внутренний оборот 450,816 ₸; нужна проверка.",,0,0,0,0,2,0,0.0
14,2,1,30000.0,100000003200071100;100000003980083100,"Признаки связного фрагмента: 2 узлов, 1 seed, внутренний оборот 30,000 ₸; нужна проверка.",,0,0,0,0,1,0,0.0
15,2,1,81465.0,100000003865939100;100000005392290100,"Признаки связного фрагмента: 2 узлов, 1 seed, внутренний оборот 81,465 ₸; нужна проверка.",,0,0,0,0,1,0,0.0
16,1,1,0.0,100000000456947100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
17,1,1,0.0,100000003265658100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
18,1,1,0.0,100000003349739100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
19,1,1,0.0,100000003770083100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
20,1,1,0.0,100000004021459100,"Признаки связного фрагмента: 1 узлов, 1 seed, внутренний оборот 0 ₸; нужна проверка.",,0,0,0,0,0,0,0.0
